city,state,country,dim_1,dim_2
Christine,ND,US,0.21732101,0.1389957
Adrian,TX,US,0.1706005,0.20393084
GlenEchoPark,MO,US,0.25664705,0.1315266
Leslie,MO,US,0.22384869,0.21275571
DiamondBluff,WI,US,0.20627204,0.12126595
Sanborn,ND,US,0.20865351,0.1416541
CollegeCity,CA,US,0.2023951,0.028465385
EagleRock,MO,US,0.18139026,0.2633429
Kettlersville,OH,US,0.27309138,0.110182315
Moore,ID,US,0.18245259,0.1666546
Notchietown,OK,US,0.17699784,0.2533831
Neahkahnie,OR,US,0.16566864,0.15454401
Garfield,KS,US,0.17944692,0.20640585
Miami,MO,US,0.21682155,0.18421733
Louise,MS,US,0.18139893,0.1913216
LambsGrove,IA,US,0.20673394,0.14724188
BarnesCity,IA,US,0.21510969,0.14582305
Seboyeta,NM,US,0.17825228,0.13990206
Glenford,OH,US,0.27224687,0.11382064
ValleySprings,AR,US,0.18258433,0.26322493
Renick,MO,US,0.2135998,0.18001215
Dunreith,IN,US,0.2600317,0.12961476
Tupelo,AR,US,0.21822527,0.1932971
Grandin,ND,US,0.21743348,0.13872626
MorganHeights,CO,US,0.17309472,0.18243212
SierraVillage,CA,US,0.17258087,0.10814927
Sisquoc,CA,US,0.19427401,0.13644496
BigArm,MT,US,0.17520157,0.16344468
MasonCity,NE,US,0.18814072,0.18671918
Norris,SD,US,0.17508242,0.19465339
Sarahsville,OH,US,0.27428263,0.11468757
Linndale,OH,US,0.28416792,0.067837365
Albrightsville,PA,US,0.22369032,0.0708186
Lehigh,KS,US,0.19476359,0.2042346
Binford,ND,US,0.2058598,0.14590128
Palisade,MN,US,0.20237942,0.13746671
Keller,VA,US,0.22955236,0.07421492
Eldon,OK,US,0.17132744,0.24846482
Lodoga,CA,US,0.1940904,0.14397319
WhiteCloud,KS,US,0.20198257,0.18825316
Tecopa,CA,US,0.1972875,0.08150081
